n,m,parseTime,SATime,SearchTime,Description
25,19,110,9,3,sameChar
25,20,106,15,4,sameChar
25,21,118,9,3,sameChar
25,22,104,9,3,sameChar
25,23,121,9,3,sameChar
25,24,104,9,3,sameChar
26,1,113,10,1,sameChar
26,2,138,10,3,sameChar
26,3,111,10,2,sameChar
26,4,138,10,1,sameChar
26,5,120,10,2,sameChar
26,6,133,10,2,sameChar
26,7,171,10,1,sameChar
26,8,153,10,2,sameChar
26,9,147,10,2,sameChar
26,10,180,9,2,sameChar
26,11,138,9,3,sameChar
26,12,152,10,2,sameChar
26,13,123,9,2,sameChar
26,14,120,9,2,sameChar
26,15,126,11,3,sameChar
26,16,114,10,2,sameChar
26,17,116,9,3,sameChar
26,18,142,10,3,sameChar
26,19,113,14,3,sameChar
26,20,112,10,3,sameChar
26,21,106,10,3,sameChar
26,22,111,9,2,sameChar
26,23,109,10,3,sameChar
26,24,108,10,3,sameChar
26,25,107,11,3,sameChar
27,1,106,10,3,sameChar
27,2,117,10,2,sameChar
27,3,119,10,2,sameChar
27,4,116,11,2,sameChar
27,5,106,10,4,sameChar
27,6,134,10,1,sameChar
27,7,109,10,1,sameChar
27,8,108,10,1,sameChar
27,9,107,11,2,sameChar
27,10,108,11,2,sameChar
27,11,118,10,2,sameChar
27,12,106,10,2,sameChar
27,13,125,12,2,sameChar
27,14,126,10,2,sameChar
27,15,106,11,3,sameChar
27,16,185,8,3,sameChar
27,17,147,16,3,sameChar
27,18,167,8,3,sameChar
27,19,144,9,3,sameChar
27,20,143,9,8,sameChar
27,21,144,12,3,sameChar
27,22,145,11,3,sameChar
27,23,132,11,5,sameChar
27,24,163,11,3,sameChar
27,25,137,10,3,sameChar
27,26,157,11,3,sameChar
28,1,136,12,2,sameChar
28,2,114,11,1,sameChar
28,3,119,12,1,sameChar
28,4,109,12,1,sameChar
28,5,110,11,1,sameChar
28,6,113,12,2,sameChar
28,7,116,12,2,sameChar
28,8,104,11,2,sameChar
28,9,103,16,3,sameChar
28,10,105,11,1,sameChar
28,11,104,11,2,sameChar
28,12,105,12,2,sameChar
28,13,108,11,3,sameChar
28,14,111,11,3,sameChar
28,15,104,11,2,sameChar
28,16,106,11,2,sameChar
28,17,107,11,3,sameChar
28,18,105,11,3,sameChar
28,19,112,18,3,sameChar
28,20,116,11,3,sameChar
28,21,107,12,3,sameChar
28,22,113,12,3,sameChar
28,23,114,12,3,sameChar
28,24,105,11,4,sameChar
28,25,116,11,3,sameChar
